code,name,N03_007,location.prefecture,location.city,location.address,location.building_name,contact_info.phone,regular_timings.open_time,regular_timings.end_time,start_date,lat,lng
4231,エディオン　おしくま店,29201,奈良県,奈良市,押熊町605,,0742-47-9311,10:00,20:00,2018-08-18,34.7174574,135.772461
8613,ケーズデンキ 高の原店,29201,奈良県,奈良市,右京1丁目1-2,,0742-70-6770,10:00,19:00,2025-08-08,34.72157714,135.7907837
6351,楽天モバイル　ならファミリー店,29201,奈良県,奈良市,西大寺東町2丁目4-1,ならファミリー4F　416区画,0742-93-6606,10:00,20:00,2019-05-31,34.695425,135.785132
8634,楽天モバイル トナリエ大和高田店,29202,奈良県,大和高田市,幸町3-18,トナリエ大和高田 2F,090-7341-9305,10:00,20:00,2025-07-31,34.51906641114548,135.74515209736543
0591,ジョーシン 郡山イオンモール店,29203,奈良県,大和郡山市,下三橋町741-170,イオンモール大和郡山 1F,0743-54-8611,10:00,19:00,2015-11-24,34.650191,135.802807
7871,楽天モバイル イオンモール大和郡山店,29203,奈良県,大和郡山市,下三橋町741,イオンモール大和郡山1F,0743-85-6537,10:00,21:00,2021-11-18,34.65167186,135.8018293
6321,エディオン　イオンモール橿原店,29205,奈良県,橿原市,曲川町7丁目20-1,,0744-21-2069,10:00,21:00,2019-04-26,34.505490,135.762414
7741,楽天モバイル　イオンモール橿原店,29205,奈良県,橿原市,曲川町7丁目20-1,イオンモール橿原3F,0744-48-3615,10:00,21:00,2021-03-19,34.5061344,135.7639918
8553,ジョーシン 東生駒店,29209,奈良県,生駒市,小明町745-1,,0743-73-8211,10:00,19:00,2025-06-19,34.7051338,135.7063854
0601,ジョーシン 登美ヶ丘イオンモール店,29209,奈良県,生駒市,鹿畑町3027,イオンモール奈良登美ヶ丘 3F,0743-78-1711,10:00,19:00,2015-11-24,34.726253,135.750482
8210,楽天モバイル イオンモール奈良登美ヶ丘店,29209,奈良県,生駒市,鹿畑町3027,イオンモール奈良登美ヶ丘3F,0743-86-4410,9:00,21:00,2022-03-04,34.72585947,135.7504633
3241,ジョーシン　斑鳩店,29344,奈良県,生駒郡,斑鳩町龍田西5丁目4-14,,0745-75-8111,10:00,19:00,2018-04-12,34.605652,135.713974
8131,楽天モバイル ラスパ西大和店,29424,奈良県,北葛城郡,上牧町ささゆり台1丁目1-1,ラスパ西大和店1F,0745-43-9810,9:00,21:00,2022-02-25,34.56627473,135.7215011
